Date,Open,High,Low,Close,Volume
29-Aug-14,170.90,171.00,170.25,170.88,3280263
28-Aug-14,170.40,170.88,170.10,170.77,2781898
27-Aug-14,171.15,171.21,170.75,171.01,5163143
26-Aug-14,170.82,171.35,170.78,170.93,3581363
25-Aug-14,170.56,171.06,170.44,170.62,2589968
22-Aug-14,170.01,170.48,169.65,169.87,5152335
21-Aug-14,169.81,170.53,169.69,170.18,2652896
20-Aug-14,168.72,169.74,168.72,169.60,3108856
19-Aug-14,168.64,169.02,168.33,168.89,3057442
18-Aug-14,167.25,168.12,167.23,168.06,2976485
15-Aug-14,167.42,167.46,165.44,166.35,7032489
14-Aug-14,166.69,167.10,166.46,167.10,2752417
13-Aug-14,166.00,166.66,165.76,166.49,2843964
12-Aug-14,165.28,165.77,165.00,165.49,3274277
11-Aug-14,165.96,166.15,165.47,165.55,5764166
8-Aug-14,163.67,165.38,163.44,165.34,5412693
7-Aug-14,164.85,164.89,163.13,163.55,4964682
6-Aug-14,163.46,164.75,163.37,164.20,4783762
5-Aug-14,164.80,165.14,163.34,163.92,8522812
4-Aug-14,164.80,165.61,164.11,165.33,4403293
1-Aug-14,164.80,165.51,164.01,164.57,7436518
31-Jul-14,167.27,167.43,165.29,165.29,9041692
30-Jul-14,169.27,169.52,167.78,168.48,5449054
29-Jul-14,169.89,170.19,168.78,168.78,3685190
28-Jul-14,169.23,169.65,168.37,169.41,3606116
25-Jul-14,169.77,169.85,168.76,169.16,5716235
24-Jul-14,170.66,170.85,170.22,170.44,3227960
23-Jul-14,170.81,170.81,170.20,170.56,2612009
22-Jul-14,170.56,170.96,170.43,170.74,3798217
21-Jul-14,170.10,170.38,169.36,170.18,2886557
18-Jul-14,169.95,170.76,169.74,170.58,6927512
17-Jul-14,170.81,171.32,169.46,169.61,6149275
16-Jul-14,170.96,171.16,170.66,171.07,3198635
15-Jul-14,170.51,170.91,169.78,170.38,5168525
14-Jul-14,170.15,170.61,170.04,170.29,2832043
11-Jul-14,168.77,169.22,168.32,169.20,2830750
10-Jul-14,167.89,169.34,167.70,168.96,4932065
9-Jul-14,169.18,169.73,168.86,169.58,3545054
8-Jul-14,169.58,169.60,168.44,168.84,5439657
7-Jul-14,169.88,170.01,169.55,169.86,2943811
3-Jul-14,169.85,170.47,169.73,170.47,2074812
2-Jul-14,169.31,169.51,169.18,169.40,1931814
1-Jul-14,168.27,169.64,168.23,169.20,4912291
30-Jun-14,167.91,168.35,167.65,167.89,6488539
27-Jun-14,167.76,168.25,167.34,168.17,3092161
26-Jun-14,168.38,168.39,167.06,168.08,4052354
25-Jun-14,167.52,168.48,167.51,168.28,3658137
24-Jun-14,168.83,169.33,167.67,167.87,4862542
23-Jun-14,169.06,169.12,168.58,168.91,2729317
20-Jun-14,169.25,169.42,168.96,169.08,5370721
19-Jun-14,169.02,169.19,168.54,169.09,3037773
18-Jun-14,168.05,169.06,167.35,168.93,4732194
17-Jun-14,167.43,168.20,167.24,168.00,2886201
16-Jun-14,167.39,167.97,167.15,167.69,3068347
13-Jun-14,167.54,167.83,167.13,167.62,2709149
12-Jun-14,168.29,168.34,166.98,167.29,5416016
11-Jun-14,168.75,168.81,168.09,168.35,3065888
10-Jun-14,169.15,169.37,168.84,169.35,2822680
9-Jun-14,169.12,169.58,169.02,169.24,2713344
6-Jun-14,168.58,169.12,168.46,169.08,4121571
5-Jun-14,167.51,168.31,166.92,168.14,5416514
4-Jun-14,166.89,167.27,166.58,167.13,2265348
3-Jun-14,166.94,167.20,166.75,167.02,4125216
2-Jun-14,167.25,167.40,166.63,167.20,4453779
30-May-14,166.60,167.02,166.30,166.93,2769441
29-May-14,166.47,166.79,166.03,166.78,2764596
28-May-14,166.54,166.55,165.95,166.09,3682041
27-May-14,166.45,166.60,166.13,166.47,2562277
23-May-14,165.29,165.87,165.19,165.83,2856996
22-May-14,165.09,165.39,164.60,165.18,3564764
21-May-14,163.95,165.15,163.89,164.98,4899932
20-May-14,164.70,164.72,163.04,163.32,4858583
19-May-14,164.14,164.91,164.03,164.71,2880377
16-May-14,164.16,164.64,163.77,164.61,5115443
15-May-14,165.78,165.87,164.02,164.55,7541336
14-May-14,167.09,167.14,165.92,166.11,3106242
13-May-14,167.10,167.29,166.95,167.05,4133418
12-May-14,166.28,166.93,166.28,166.80,3946694
9-May-14,165.29,165.78,164.87,165.72,4228634
8-May-14,165.02,166.07,164.86,165.35,5997976
7-May-14,164.51,165.08,163.39,165.03,5578718
6-May-14,164.66,164.68,163.68,163.73,5281749
5-May-14,163.97,165.17,163.45,164.93,4060840
2-May-14,165.16,165.85,164.53,164.75,7037255
1-May-14,165.30,165.71,164.90,165.23,3890509
30-Apr-14,164.92,165.60,164.83,165.45,4962191
29-Apr-14,164.62,165.27,164.49,165.00,4583714
28-Apr-14,164.13,164.69,162.78,164.17,7236949
25-Apr-14,164.08,164.19,163.00,163.35,5104287
24-Apr-14,165.01,165.11,164.19,164.69,4030810
23-Apr-14,164.94,164.99,164.45,164.64,3550456
22-Apr-14,164.30,165.30,164.23,164.80,4046873
21-Apr-14,163.84,164.25,163.70,164.03,3068525
17-Apr-14,163.61,164.19,163.33,163.75,5791222
16-Apr-14,163.43,164.03,162.93,164.02,5869424
15-Apr-14,161.67,162.47,160.38,162.36,8494145
14-Apr-14,161.08,161.62,160.27,161.45,6272681
11-Apr-14,160.67,161.32,159.88,160.02,11068130
10-Apr-14,164.12,164.31,161.27,161.47,9981548
9-Apr-14,163.00,164.14,162.43,164.10,6016472
8-Apr-14,162.10,162.73,161.55,162.33,5930117
7-Apr-14,163.58,163.93,162.12,162.16,8627208
4-Apr-14,166.01,166.06,163.58,163.88,10560661
3-Apr-14,165.72,165.75,164.96,165.34,4452553
2-Apr-14,165.19,165.57,164.75,165.37,5597674
1-Apr-14,164.67,165.31,164.58,164.95,4078016
31-Mar-14,163.72,164.46,163.64,164.24,6368368
28-Mar-14,162.61,163.82,162.32,162.85,4535956
27-Mar-14,162.25,162.68,161.54,162.28,7713680
26-Mar-14,164.07,164.33,162.32,162.33,6134692
25-Mar-14,163.37,163.72,162.57,163.39,5991113
24-Mar-14,163.13,163.46,161.78,162.44,6339916
21-Mar-14,163.47,164.20,162.53,162.63,7629525
20-Mar-14,161.85,163.47,161.48,163.30,6616236
19-Mar-14,163.26,163.57,161.15,162.19,7936416
18-Mar-14,162.69,163.64,162.55,163.28,7094550
17-Mar-14,161.40,162.67,161.33,162.37,6642966
14-Mar-14,160.73,161.60,160.38,160.65,8603585
13-Mar-14,163.74,164.03,160.78,161.05,9500549
12-Mar-14,162.66,163.57,162.47,163.23,5258033
11-Mar-14,164.28,164.49,163.11,163.42,5221300
10-Mar-14,164.05,164.16,163.18,163.99,3999765
7-Mar-14,164.76,164.89,163.81,164.34,7383168
6-Mar-14,163.82,164.31,163.76,164.09,4658263
5-Mar-14,163.78,163.82,163.21,163.35,4968798
4-Mar-14,163.13,164.00,163.05,163.63,7954245
3-Mar-14,161.59,162.19,160.49,161.49,9155071
28-Feb-14,162.56,163.77,162.01,163.02,10013066
27-Feb-14,161.64,162.56,161.37,162.55,5293496
26-Feb-14,161.71,162.26,161.27,161.84,5033018
25-Feb-14,161.74,162.24,161.13,161.50,6080083
24-Feb-14,161.02,162.69,160.97,161.66,6713649
21-Feb-14,161.08,161.62,160.62,160.81,5268349
20-Feb-14,160.56,161.72,160.10,161.31,7036272
19-Feb-14,161.02,162.34,160.38,160.52,8247850
18-Feb-14,161.70,161.76,161.13,161.41,4967903
14-Feb-14,160.08,161.83,159.90,161.59,5992559
13-Feb-14,158.66,160.47,158.61,160.29,5094547
12-Feb-14,160.00,160.45,159.34,159.71,5256778
11-Feb-14,158.06,160.09,157.94,159.76,7623678
10-Feb-14,157.76,157.82,157.13,157.75,4792911
7-Feb-14,156.56,157.80,156.05,157.78,12546840
6-Feb-14,154.70,156.15,154.70,156.14,10429613
5-Feb-14,153.72,154.52,153.12,154.18,11610345
4-Feb-14,153.95,154.53,153.26,154.08,11860265
3-Feb-14,156.57,156.76,153.25,153.53,18182252
31-Jan-14,156.23,157.70,155.85,156.75,10694614
30-Jan-14,158.30,158.77,157.37,158.17,7872804
29-Jan-14,157.66,158.25,156.75,157.10,14286066
28-Jan-14,158.47,159.17,158.28,158.94,8324974
27-Jan-14,158.70,159.11,157.51,158.02,14277728
24-Jan-14,160.71,160.89,158.48,158.48,14729645
23-Jan-14,162.43,162.43,161.07,161.71,9960581
22-Jan-14,163.76,163.80,162.99,163.47,5422212
21-Jan-14,165.03,165.05,162.79,163.73,9427040
17-Jan-14,163.79,164.59,163.61,164.08,8014189
16-Jan-14,164.22,164.33,163.52,163.98,5175923
15-Jan-14,163.66,164.80,163.59,164.57,7783346
14-Jan-14,162.74,163.47,162.37,163.45,7340947
13-Jan-14,163.90,164.28,162.14,162.24,10678092
10-Jan-14,164.56,164.69,163.52,164.18,7497166
9-Jan-14,164.95,164.99,163.52,164.19,8218113
8-Jan-14,164.70,164.83,163.91,164.35,9464213
7-Jan-14,164.66,165.29,164.52,164.97,5390671
6-Jan-14,164.99,165.06,163.71,163.89,7447532
3-Jan-14,164.40,164.87,164.04,164.39,6127622
2-Jan-14,164.79,165.01,163.84,164.11,9294896
31-Dec-13,164.94,165.51,164.81,165.47,5669786
30-Dec-13,164.55,164.68,164.40,164.59,4043646
27-Dec-13,164.76,164.92,164.22,164.47,6177212
26-Dec-13,163.60,164.49,163.58,164.46,4971613
24-Dec-13,162.72,163.26,162.59,163.16,2461988
23-Dec-13,162.57,162.85,162.33,162.62,4992829
20-Dec-13,161.62,162.53,161.61,162.01,7978604
19-Dec-13,161.46,162.01,161.28,161.88,8020368
18-Dec-13,159.16,161.79,158.11,161.76,15336510
17-Dec-13,159.28,159.29,158.39,158.78,6004477
16-Dec-13,158.35,159.37,158.25,158.90,7080032
13-Dec-13,157.56,157.97,157.10,157.65,8886480
12-Dec-13,158.21,158.43,157.08,157.47,7078711
